type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
5,41,2,138,6,3.19554457187405,0,130.95,0,0.195544571874052,-0.57495867286797,-0.42956909900445,2.90390292735538,1.22563463198208,0,0,2.8,2.8,4,0,0,0
5,41,2,139,6,3.10836926357479,1.4,132.35,0,0.108369263574787,-0.634170915395127,-0.561922474419439,3.19554457187405,-0.42956909900445,0,0,0,0.7,6,0.233333333333333,0,0.466666666666667
5,41,2,140,10,5.88444986851573,0.7,133.05,0,0.88444986851573,1.25143134127145,0.0830610723553456,3.10836926357479,-0.561922474419439,1.4,0,0,2.8,6,0.07,0.233333333333333,0.7
5,41,2,141,6,3.71078364677487,1.4,134.45,0,0.710783646774871,-0.224991902945434,0.352689456075353,5.88444986851573,0.0830610723553456,0.7,1.4,0,2.8,10,0.233333333333333,0.07,1.16666666666667
5,41,2,142,8,5.37582133247633,0.7,135.15,0,1.37582133247633,0.905954659631181,1.05070356757392,3.71078364677487,0.352689456075353,1.4,0.7,1.4,0,6,0.0875,0.233333333333333,0.933333333333333
5,41,2,143,8,5.15373138880022,0,135.2,0,1.15373138880022,0.755104104991924,0.757423340097413,5.37582133247633,1.05070356757392,0.7,1.4,0.7,1.4,8,0,0.0875,0.7
5,41,2,144,4,2.54213074932704,0.7,135.9,0,0.542130749327043,-1.01877812686325,0.440825510675013,5.15373138880022,0.757423340097413,0,0.7,1.4,0,8,0.175,0,0.466666666666667
5,41,2,145,4,2.32687947612976,2.8,138.7,0,0.326879476129761,-1.16498363896861,-0.0261290337536536,2.54213074932704,0.440825510675013,0.7,0,0.7,0,4,0.7,0.175,1.16666666666667
5,41,2,146,6,4.01376794850512,1.4,140.1,0,1.01376794850512,-0.0191953269885711,0.812693507842953,2.32687947612976,-0.0261290337536536,2.8,0.7,0,0.7,4,0.233333333333333,0.7,1.63333333333333
5,41,2,147,10,5.95922191283353,0,140.15,0,0.959221912833527,1.30221889234265,0.163582681095763,4.01376794850512,0.812693507842953,1.4,2.8,0.7,1.4,6,0,0.233333333333333,1.4
5,41,2,148,4,2.48385924807008,1.4,141.55,0,0.483859248070075,-1.05835798418941,0.31441444737002,5.95922191283353,0.163582681095763,0,1.4,2.8,2.8,10,0.35,0,0.933333333333333
5,41,2,149,6,3.79609519598307,1.4,142.95,0,0.796095195983071,-0.167045584880896,0.482213190718483,2.48385924807008,0.31441444737002,1.4,0,1.4,2.8,4,0.233333333333333,0.35,0.933333333333333
5,41,2,150,10,6.85225164149233,1.4,144.35,0,1.85225164149233,1.9087930921812,1.12528154944555,3.79609519598307,0.482213190718483,1.4,1.4,0,2.8,6,0.14,0.233333333333333,1.4
5,41,2,151,6,4.39626667589255,2.8,147.15,0,1.39626667589255,0.240609976304909,1.39341984709343,6.85225164149233,1.12528154944555,1.4,1.4,1.4,1.4,10,0.466666666666667,0.14,1.86666666666667
5,41,2,152,4,3.0677955565352,1.4,148.55,0,1.0677955565352,-0.661729867905008,1.58117449410285,4.39626667589255,1.39341984709343,2.8,1.4,1.4,0.7,6,0.35,0.466666666666667,1.86666666666667
5,41,2,153,8,4.53332158465309,1.4,149.95,0,0.533321584653095,0.333702030183372,-0.0618570175683233,3.0677955565352,1.58117449410285,1.4,2.8,1.4,0.7,4,0.175,0.35,1.86666666666667
5,41,2,154,10,6.09665860484347,0.7,150.65,0,1.09665860484347,1.39557026554899,0.311587508856876,4.53332158465309,-0.0618570175683233,1.4,1.4,2.8,0,8,0.07,0.175,1.16666666666667
5,41,2,155,8,4.42126028351595,2.8,153.45,0,0.421260283515949,0.257586429673389,-0.209839241998736,6.09665860484347,0.311587508856876,0.7,1.4,1.4,0,10,0.35,0.07,1.63333333333333
5,41,2,156,4,2.95666936045745,0,153.5,0,0.956669360457454,-0.737210315312057,1.3401032962753,4.42126028351595,-0.209839241998736,2.8,0.7,1.4,2.8,8,0,0.35,1.16666666666667
5,41,2,157,6,4.08354220962792,0.7,154.2,0,1.08354220962792,0.0281975707523061,0.918627850455052,2.95666936045745,1.3401032962753,0,2.8,0.7,0,4,0.116666666666667,0,1.16666666666667
5,41,2,158,6,4.17138461231661,0.7,154.9,0,1.17138461231661,0.0878629250096756,1.051994037822,4.08354220962792,0.918627850455052,0.7,0,2.8,0,6,0.116666666666667,0.116666666666667,0.466666666666667
5,41,2,159,8,3.76374302409931,0.7,155.6,0,-0.236256975900687,-0.189020209178009,-1.07812174151015,4.17138461231661,1.051994037822,0.7,0.7,0,0,6,0.0875,0.116666666666667,0.7
5,41,2,160,8,5.6934673425767,2.8,158.4,0,1.6934673425767,1.12170993431605,1.47017007991228,3.76374302409931,-1.07812174151015,0.7,0.7,0.7,1.4,8,0.35,0.0875,1.4
5,41,3,161,4,1.86685059900628,0,NaN,0,-0.133149400993716,-1.47744988627135,-1.0240909577435,5.6934673425767,1.47017007991228,2.8,0.7,0.7,0.7,8,0,0.35,1.16666666666667
5,41,3,162,10,5.37976935834558,0,NaN,0,0.379769358345584,0.908636284392071,-0.460426630162407,1.86685059900628,-1.0240909577435,0,2.8,0.7,1.4,4,0,0,0.933333333333333
5,41,3,163,8,4.11742415356821,0,NaN,0,0.117424153568209,0.051211264893732,-0.611069157373066,5.37976935834558,-0.460426630162407,0,0,2.8,0.7,10,0,0,0
5,41,3,164,6,3.71919402095773,0,NaN,0,0.71919402095773,-0.219279309258355,0.365458454927448,4.11742415356821,-0.611069157373066,0,0,0,0,8,0,0,0
5,41,3,165,10,7.17593580880566,0,NaN,0,2.17593580880566,2.1286496753247,1.47385527260198,3.71919402095773,0.365458454927448,0,0,0,0.7,6,0,0,0
5,41,3,166,6,3.93003074205444,0,NaN,0,0.930030742054441,-0.076072301370845,0.685560009404125,7.17593580880566,1.47385527260198,0,0,0,2.8,10,0,0,0
5,41,3,167,6,4.19510502264893,0,NaN,0,1.19510502264893,0.103974582276423,1.08800740485172,3.93003074205444,0.685560009404125,0,0,0,1.4,6,0,0,0
5,41,3,168,8,5.4285558036936,0,NaN,0,1.4285558036936,0.941773590016132,1.12034191975887,4.19510502264893,1.08800740485172,0,0,0,0,6,0,0,0
5,41,3,169,8,4.03026702542047,0,NaN,0,0.0302670254204713,-0.00798862909617877,-0.726164248786326,5.4285558036936,1.12034191975887,0,0,0,1.4,8,0,0,0
5,41,3,170,10,6.7191773069444,0,NaN,0,1.7191773069444,1.81840477093384,0.981974520760913,4.03026702542047,-0.726164248786326,0,0,0,1.4,8,0,0,0
5,41,3,171,10,4.4657790841411,0,NaN,0,-0.534220915858896,0.287825015243806,-1.44469779625815,6.7191773069444,0.981974520760913,0,0,0,1.4,10,0,0,0
5,41,3,172,4,2.55547468970508,0,NaN,0,0.555474689705079,-1.00971449807493,0.469773137825159,4.4657790841411,-1.44469779625815,0,0,0,2.8,10,0,0,0
5,41,3,173,4,2.03598585701366,0,NaN,0,0.0359858570136566,-1.36256783867772,-0.657178018384152,2.55547468970508,0.469773137825159,0,0,0,1.4,4,0,0,0
5,41,3,174,8,3.98863271161099,0,NaN,0,-0.0113672883890104,-0.036267979463094,-0.781144320476023,2.03598585701366,-0.657178018384152,0,0,0,1.4,4,0,0,0
5,41,3,175,4,2.31807969475994,0,NaN,0,0.318079694759945,-1.17096073040449,-0.045218806555362,3.98863271161099,-0.781144320476023,0,0,0,0.7,8,0,0,0
5,41,3,176,6,4.39043905660219,0,NaN,0,1.39043905660219,0.23665167190073,1.38457209996457,2.31807969475994,-0.045218806555362,0,0,0,2.8,4,0,0,0
5,41,3,177,6,3.47149938187613,0,NaN,0,0.471499381876129,-0.387521387526978,-0.0106024067342655,4.39043905660219,1.38457209996457,0,0,0,0,6,0,0,0
5,41,3,178,10,5.5364652852877,0,NaN,0,0.536465285287704,1.01506914261911,-0.291681636822063,3.47149938187613,-0.0106024067342655,0,0,0,0.7,6,0,0,0
5,41,3,179,10,6.3306500988765,0,NaN,0,1.3306500988765,1.55450473179042,0.563571678916933,5.5364652852877,-0.291681636822063,0,0,0,0.7,10,0,0,0
5,41,3,181,6,2.94152675766964,0,NaN,0,-0.0584732423303649,-0.747495652826284,-0.815230082388381,3.55720327054951,2.64286928801923,0,0,0,2.8,4,0,0,0
5,41,3,182,6,2.77436785842474,0,NaN,0,-0.225632141575261,-0.861035294678572,-1.06901805259855,2.94152675766964,-0.815230082388381,0,0,0,0,6,0,0,0
5,41,3,183,8,4.40732607456448,0,NaN,0,0.40732607456448,0.24812187169298,-0.228240020995518,2.77436785842474,-1.06901805259855,0,0,0,0,6,0,0,0
5,41,3,184,6,2.38495304828393,0,NaN,0,-0.615046951716067,-1.12553822138538,-1.66024469193304,4.40732607456448,-0.228240020995518,0,0,0,0,8,0,0,0
5,41,3,185,4,1.6661604568726,0,NaN,0,-0.333839543127397,-1.61376501495475,-1.45945736696083,2.38495304828393,-1.66024469193304,0,0,0,0,6,0,0,0
5,41,3,186,4,2.2905174072057,0,NaN,0,0.290517407205698,-1.18968191289417,-0.105010951972822,1.6661604568726,-1.45945736696083,0,0,0,0,4,0,0,0
5,41,3,187,8,5.3309802739459,0,NaN,0,1.3309802739459,0.875497186240163,0.991488838494279,2.2905174072057,-0.105010951972822,0,0,0,0,4,0,0,0
5,41,3,188,4,2.44456313674527,0,NaN,0,0.444563136745273,-1.08504915304826,0.229167575242702,5.3309802739459,0.991488838494279,0,0,0,0,8,0,0,0
5,41,3,189,10,4.74097912448997,0,NaN,0,-0.259020875510032,0.474749637026389,-1.14833636630799,2.44456313674527,0.229167575242702,0,0,0,0,4,0,0,0
